order,seasonal_order,AIC,BIC,params
"(2,0,2)","(1,0,1,52)",8112.93,8140.65,6
"(1,0,2)","(0,0,1,52)",8112.97,8132.77,4
"(2,0,2)","(0,0,1,52)",8113.57,8137.34,5
"(1,0,2)","(1,0,1,52)",8114.86,8138.63,5
"(2,0,0)","(1,0,1,52)",8131.07,8150.89,4
"(2,0,1)","(1,0,1,52)",8131.26,8155.04,5
"(2,0,0)","(1,0,0,52)",8131.37,8147.22,3
"(2,0,1)","(0,0,1,52)",8132.48,8152.3,4
"(2,0,1)","(1,0,0,52)",8132.48,8152.29,4
"(2,0,2)","(1,0,0,52)",8133.38,8157.17,5
"(1,0,1)","(0,0,1,52)",8139.91,8155.77,3
"(1,0,1)","(1,0,1,52)",8141.36,8161.18,4
"(2,0,0)","(0,0,1,52)",8151.26,8167.13,3
"(1,0,2)","(1,0,0,52)",8152.73,8172.56,4
"(1,0,1)","(1,0,0,52)",8159.77,8175.63,3
"(1,0,0)","(1,0,1,52)",8193.25,8209.11,3
"(1,0,0)","(1,0,0,52)",8195.31,8207.21,2
"(1,0,0)","(0,0,1,52)",8195.32,8207.22,2
"(0,0,0)","(1,0,1,52)",9007.89,9019.79,2
"(0,0,2)","(1,0,1,52)",9053.87,9073.67,4
"(0,0,2)","(0,0,1,52)",9070.47,9086.32,3
"(0,0,1)","(1,0,1,52)",9114.89,9130.74,3
"(0,0,0)","(1,0,0,52)",9129.44,9137.38,1
"(0,0,2)","(1,0,0,52)",9129.47,9145.34,3
"(0,0,1)","(0,0,1,52)",9153.84,9165.73,2
"(1,0,2)","(0,0,0,52)",9167.32,9183.67,3
"(2,0,2)","(0,0,0,52)",9167.59,9188.02,4
"(0,0,1)","(1,0,0,52)",9173.21,9185.12,2
"(2,0,0)","(0,0,0,52)",9185.17,9197.43,2
"(2,0,1)","(0,0,0,52)",9186.43,9202.78,3
"(1,0,1)","(0,0,0,52)",9194.08,9206.35,2
"(1,0,0)","(0,0,0,52)",9253.11,9261.3,1
"(0,0,0)","(0,0,1,52)",9387.76,9395.7,1
"(0,0,2)","(0,0,0,52)",10295.66,10307.92,2
"(0,0,1)","(0,0,0,52)",10420.06,10428.24,1
"(0,0,0)","(0,0,0,52)",10763.3,10767.39,0
