tanggal,harga,label,fitted,residual,foodshock_score,fs_label
2018-01-01,41150.0,Aman,0.0,41150.0,86.8,Siaga
2018-01-08,38100.0,Aman,57065.0,-18965.0,90.2,Siaga
2018-01-15,36450.0,Aman,37801.0,-1351.0,64.5,Waspada
2018-01-22,28650.0,Aman,34083.0,-5433.0,48.2,Waspada
2018-01-29,25700.0,Aman,25124.0,576.0,9.5,Aman
2018-02-05,29300.0,Aman,23452.0,5848.0,5.2,Aman
2018-02-12,36450.0,Aman,29346.0,7104.0,8.7,Aman
2018-02-19,44700.0,Aman,37848.0,6852.0,13.3,Aman
2018-02-26,47200.0,Aman,46398.0,802.0,8.5,Aman
2018-03-05,55400.0,Aman,47085.0,8315.0,13.2,Aman
2018-03-12,62050.0,Aman,56352.0,5698.0,14.7,Aman
2018-03-19,43550.0,Aman,62763.0,-19213.0,42.5,Waspada
2018-03-26,35150.0,Aman,36941.0,-1791.0,30.6,Aman
2018-04-02,32900.0,Aman,30055.0,2845.0,8.5,Aman
2018-04-09,33200.0,Aman,30641.0,2559.0,6.0,Aman
2018-04-16,28600.0,Aman,32215.0,-3615.0,6.2,Aman
2018-04-23,25650.0,Aman,26369.0,-719.0,4.8,Aman
2018-04-30,23900.0,Aman,23619.0,281.0,4.2,Aman
2018-05-07,22050.0,Aman,22429.0,-379.0,5.0,Aman
2018-05-14,23350.0,Aman,20704.0,2646.0,4.8,Aman
2018-05-21,24150.0,Aman,22919.0,1231.0,3.0,Aman
2018-05-28,21550.0,Aman,23767.0,-2217.0,3.7,Aman
2018-06-04,24250.0,Aman,20145.0,4105.0,4.8,Aman
2018-06-11,34200.0,Aman,24140.0,10060.0,12.0,Aman
2018-06-18,39100.0,Aman,36433.0,2667.0,10.7,Aman
2018-06-25,32900.0,Aman,40144.0,-7244.0,13.8,Aman
2018-07-02,46550.0,Aman,30280.0,16270.0,33.2,Aman
2018-07-09,50000.0,Aman,48823.0,1177.0,24.4,Aman
2018-07-16,48150.0,Aman,50548.0,-2398.0,8.2,Aman
2018-07-23,46850.0,Aman,46313.0,537.0,5.6,Aman
2018-07-30,35450.0,Aman,44812.0,-9362.0,21.9,Aman
2018-08-06,31300.0,Aman,30739.0,561.0,14.4,Aman
2018-08-13,27650.0,Aman,28232.0,-582.0,2.6,Aman
2018-08-20,22200.0,Aman,25429.0,-3229.0,4.2,Aman
2018-08-27,18100.0,Aman,19628.0,-1528.0,5.9,Aman
2018-09-03,15400.0,Aman,15911.0,-511.0,6.7,Aman
2018-09-10,15150.0,Aman,13830.0,1320.0,1.5,Aman
2018-09-17,15300.0,Aman,14448.0,852.0,2.5,Aman
2018-09-24,15150.0,Aman,14887.0,263.0,9.9,Aman
2018-10-01,17800.0,Aman,14661.0,3139.0,6.5,Aman
2018-10-08,20300.0,Aman,18062.0,2238.0,4.4,Aman
2018-10-15,22050.0,Aman,20645.0,1405.0,2.7,Aman
2018-10-22,22550.0,Aman,22086.0,464.0,6.9,Aman
2018-10-29,20850.0,Aman,22120.0,-1270.0,4.3,Aman
2018-11-05,22700.0,Aman,19704.0,2996.0,4.4,Aman
2018-11-12,21850.0,Aman,22441.0,-591.0,4.0,Aman
2018-11-19,18950.0,Aman,21060.0,-2110.0,2.7,Aman
2018-11-26,17350.0,Aman,17408.0,-58.0,7.2,Aman
2018-12-03,17800.0,Aman,16108.0,1692.0,2.3,Aman
2018-12-10,21250.0,Aman,17292.0,3958.0,2.8,Aman
2018-12-17,22550.0,Aman,21716.0,834.0,3.8,Aman
2018-12-24,38500.0,Aman,22518.0,15982.0,28.0,Aman
2018-12-31,33050.0,Aman,69397.0,-36347.0,90.2,Siaga
2019-01-07,28150.0,Aman,32969.0,-4819.0,64.2,Waspada
2019-01-14,24800.0,Aman,24356.0,444.0,41.4,Waspada
2019-01-21,20050.0,Aman,21984.0,-1934.0,27.0,Aman
2019-01-28,17050.0,Aman,17819.0,-769.0,2.8,Aman
2019-02-04,13800.0,Aman,15761.0,-1961.0,7.0,Aman
2019-02-11,12750.0,Aman,12756.0,-6.0,12.8,Aman
2019-02-18,16450.0,Aman,12363.0,4087.0,2.9,Aman
2019-02-25,16100.0,Aman,17108.0,-1008.0,3.5,Aman
2019-03-04,20550.0,Aman,16448.0,4102.0,3.6,Aman
2019-03-11,20850.0,Aman,21685.0,-835.0,3.8,Aman
2019-03-18,16900.0,Aman,19122.0,-2222.0,2.5,Aman
2019-03-25,17150.0,Aman,15007.0,2143.0,2.1,Aman
2019-04-01,15850.0,Aman,16619.0,-769.0,2.1,Aman
2019-04-08,14800.0,Aman,15200.0,-400.0,4.8,Aman
2019-04-15,15950.0,Aman,13659.0,2291.0,3.0,Aman
2019-04-22,19800.0,Aman,15682.0,4118.0,4.2,Aman
2019-04-29,20200.0,Aman,20493.0,-293.0,6.4,Aman
2019-05-06,21800.0,Aman,19961.0,1839.0,1.8,Aman
2019-05-13,17850.0,Aman,21839.0,-3989.0,7.1,Aman
2019-05-20,13800.0,Aman,16284.0,-2484.0,6.6,Aman
2019-05-27,13400.0,Aman,11655.0,1745.0,2.0,Aman
2019-06-03,15150.0,Aman,12905.0,2245.0,1.2,Aman
2019-06-10,14700.0,Aman,16021.0,-1321.0,1.9,Aman
2019-06-17,14500.0,Aman,14464.0,36.0,8.3,Aman
2019-06-24,22100.0,Aman,13403.0,8697.0,11.8,Aman
2019-07-01,32400.0,Aman,25005.0,7395.0,12.0,Aman
2019-07-08,49350.0,Aman,35252.0,14098.0,26.6,Aman
2019-07-15,64200.0,Waspada,53596.0,10604.0,31.8,Aman
2019-07-22,67650.0,Waspada,68013.0,-363.0,15.6,Aman
2019-07-29,76150.0,Waspada,66891.0,9259.0,11.0,Aman
2019-08-05,77150.0,Waspada,76588.0,562.0,10.9,Aman
2019-08-12,82150.0,Waspada,75605.0,6545.0,6.8,Aman
2019-08-19,71100.0,Waspada,80936.0,-9836.0,20.4,Aman
2019-08-26,63750.0,Waspada,65731.0,-1981.0,12.9,Aman
2019-09-02,57350.0,Aman,58643.0,-1293.0,3.9,Aman
2019-09-09,57300.0,Aman,53213.0,4087.0,2.5,Aman
2019-09-16,47000.0,Aman,55192.0,-8192.0,17.8,Aman
2019-09-23,40350.0,Aman,42466.0,-2116.0,10.7,Aman
2019-09-30,38550.0,Aman,36570.0,1980.0,1.4,Aman
2019-10-07,42700.0,Aman,36547.0,6153.0,5.5,Aman
2019-10-14,34450.0,Aman,42713.0,-8263.0,18.2,Aman
2019-10-21,32350.0,Aman,31231.0,1119.0,12.2,Aman
2019-10-28,34000.0,Aman,29989.0,4011.0,2.6,Aman
2019-11-04,33300.0,Aman,33564.0,-264.0,5.1,Aman
2019-11-11,34100.0,Aman,32179.0,1921.0,1.7,Aman
2019-11-18,25650.0,Aman,33083.0,-7433.0,15.7,Aman
2019-11-25,23650.0,Aman,22311.0,1339.0,10.2,Aman
2019-12-02,25100.0,Aman,21814.0,3286.0,1.0,Aman
2019-12-09,29600.0,Aman,24975.0,4625.0,3.2,Aman
2019-12-16,32200.0,Aman,30319.0,1881.0,6.9,Aman
2019-12-23,34350.0,Aman,33563.0,787.0,1.4,Aman
2019-12-30,34450.0,Aman,49109.0,-14659.0,28.4,Aman
2020-01-06,47200.0,Aman,34102.0,13098.0,38.1,Waspada
2020-01-13,56050.0,Aman,49086.0,6964.0,25.9,Aman
2020-01-20,70150.0,Waspada,57442.0,12708.0,28.5,Aman
2020-01-27,73350.0,Waspada,72909.0,441.0,19.8,Aman
2020-02-03,71150.0,Waspada,73214.0,-2064.0,3.2,Aman
2020-02-10,54400.0,Aman,68800.0,-14400.0,28.2,Aman
2020-02-17,39600.0,Aman,47998.0,-8398.0,33.7,Aman
2020-02-24,26200.0,Aman,32563.0,-6363.0,20.6,Aman
2020-03-02,24350.0,Aman,20989.0,3361.0,7.0,Aman
2020-03-09,28900.0,Aman,22394.0,6506.0,6.8,Aman
2020-03-16,40400.0,Aman,28248.0,12152.0,18.9,Aman
2020-03-23,43450.0,Aman,43141.0,309.0,18.1,Aman
2020-03-30,42350.0,Aman,43992.0,-1642.0,2.5,Aman
2020-04-06,44150.0,Aman,40970.0,3180.0,2.7,Aman
2020-04-13,30200.0,Aman,43190.0,-12990.0,28.4,Aman
2020-04-20,23250.0,Aman,25368.0,-2118.0,18.0,Aman
2020-04-27,21000.0,Aman,19352.0,1648.0,3.9,Aman
2020-05-04,16550.0,Aman,19319.0,-2769.0,4.9,Aman
2020-05-11,16550.0,Aman,14438.0,2112.0,2.0,Aman
2020-05-18,17300.0,Aman,15632.0,1668.0,1.0,Aman
2020-05-25,19450.0,Aman,17042.0,2408.0,1.7,Aman
2020-06-01,16250.0,Aman,19963.0,-3713.0,6.5,Aman
2020-06-08,15200.0,Aman,15351.0,-151.0,7.8,Aman
2020-06-15,14700.0,Aman,14298.0,402.0,3.4,Aman
2020-06-22,14450.0,Aman,14289.0,161.0,4.5,Aman
2020-06-29,15350.0,Aman,15279.0,71.0,14.0,Aman
2020-07-06,18300.0,Aman,16238.0,2062.0,5.1,Aman
2020-07-13,21500.0,Aman,19360.0,2140.0,4.4,Aman
2020-07-20,20900.0,Aman,22038.0,-1138.0,3.5,Aman
